,target,feature,weight,,,,,Sno.,target,feature,weight
489,italian,lamb,-4.501210286,,,,,,,,
490,italian,edamame,-4.612110116,,,,,,,,
491,italian,niçoise,-4.640481194,,,,,,,,
492,italian,mashed,-4.718906007,,,,,,,,
493,italian,grit,-4.841150344,,,,,,,,
494,italian,andouille,-5.274206379,,,,,,,,
495,italian,cayenne,-5.338533978,,,,,,,,
496,italian,cumin,-5.477189885,,,,,,,,
497,italian,tortilla,-5.625820009,,,,,,,,
498,italian,crawfish,-6.539959614,,,,,,,,
499,italian,cajun,-6.711233578,,,,,,,,
500,jamaican,jerk,12.57751114,,,,,,,,
501,jamaican,thyme,11.73380369,,,,,,,,
502,jamaican,allspice,10.68296952,,,,,,,,
503,jamaican,nutmeg,7.66619822,,,,,,,,
504,jamaican,rum,7.157617646,,,,,,,,
505,jamaican,curry,6.704211313,,,,,,,,
506,jamaican,lime,6.320496347,,,,,,,,
507,jamaican,jamaican,5.91630876,,,,,,,,
508,jamaican,habanero,5.432977598,,,,,,,,
509,jamaican,plantain,5.307517349,,,,,,,,
510,jamaican,okra,5.275225473,,,,,,,,
511,jamaican,scallion,5.231654703,,,,,,,,
512,jamaican,banana,5.186686286,,,,,,,,
513,jamaican,pepper,4.993351857,,,,,,,,
514,jamaican,polenta,4.880937142,,,,,,,,
515,jamaican,stout,4.73832097,,,,,,,,
516,jamaican,coconut,4.577181349,,,,,,,,
517,jamaican,sorrel,4.507183712,,,,,,,,
518,jamaican,crumb,4.227160662,,,,,,,,
519,jamaican,breadfruit,4.202915882,,,,,,,,
520,jamaican,gruyere,4.200140096,,,,,,,,
521,jamaican,cornmeal,4.138961867,,,,,,,,
522,jamaican,cold,4.129209271,,,,,,,,
523,jamaican,mango,4.045254532,,,,,,,,
524,jamaican,kidney,3.936882405,,,,,,,,
525,jamaican,brown,3.807224031,,,,,,,,
526,jamaican,yeast,3.800227917,,,,,,,,
527,jamaican,adzuki,3.757451234,,,,,,,,
528,jamaican,ackee,3.742223171,,,,,,,,
529,jamaican,flavored,3.691826694,,,,,,,,
530,jamaican,bicarbonate,3.689316503,,,,,,,,
531,jamaican,machine,3.682169469,,,,,,,,
532,jamaican,codfish,3.585436971,,,,,,,,
533,jamaican,yucca,3.564056188,,,,,,,,
534,jamaican,annatto,3.513183558,,,,,,,,
535,jamaican,scotch,3.506292662,,,,,,,,
536,jamaican,bonnet,3.48305044,,,,,,,,
537,jamaican,prepared,3.446199012,,,,,,,,
538,jamaican,vermouth,3.446119538,,,,,,,,
539,jamaican,gingerroot,3.400716478,,,,,,,,
540,jamaican,season,3.292226496,,,,,,,,
541,jamaican,cho,3.283113022,,,,,,,,
542,jamaican,caribbean,3.245189509,,,,,,,,
543,jamaican,guava,3.210253445,,,,,,,,
544,jamaican,treacle,3.186589771,,,,,,,,
545,jamaican,honey,-3.173849,,,,,,,,
546,jamaican,sesame,-3.180829379,,,,,,,,
547,jamaican,oregano,-3.217729184,,,,,,,,
548,jamaican,broth,-3.521893023,,,,,,,,
549,jamaican,olive,-5.662584963,,,,,,,,
550,japanese,miso,10.2482234,,,,,,,,
551,japanese,sake,9.529657232,,,,,,,,
552,japanese,mirin,9.137933355,,,,,,,,
553,japanese,soba,7.994617871,,,,,,,,
554,japanese,nori,7.460400868,,,,,,,,
555,japanese,dashi,7.292309129,,,,,,,,
556,japanese,soy,7.278868862,,,,,,,,
