,target,feature,weight,,,,,,,,,
401,irish,corned,2.143365051,,,,,,,,,
402,irish,guinness,2.056480525,,,,,,,,,
403,irish,potato,1.861965562,,,,,,,,,
404,irish,brisket,1.589336852,,,,,,,,,
405,irish,stout,1.190818072,,,,,,,,,
406,irish,cabbage,1.173404806,,,,,,,,,
407,irish,lamb,1.165803455,,,,,,,,,
408,irish,buttermilk,1.138422015,,,,,,,,,
409,irish,steel,1.116935194,,,,,,,,,
410,irish,raisin,1.052757608,,,,,,,,,
411,irish,beer,1.004584005,,,,,,,,,
412,irish,soda,0.961787113,,,,,,,,,
413,irish,lowfat,0.908662164,,,,,,,,,
414,irish,leek,0.862135379,,,,,,,,,
415,irish,mashed,0.830621224,,,,,,,,,
416,irish,blood,0.829791724,,,,,,,,,
417,irish,rock,0.824171919,,,,,,,,,
418,irish,rhubarb,0.788113138,,,,,,,,,
419,irish,bacon,0.786435351,,,,,,,,,
420,irish,whiskey,0.759875197,,,,,,,,,
421,irish,wheat,0.755210342,,,,,,,,,
422,irish,caraway,0.740397961,,,,,,,,,
423,irish,scallion,0.739697332,,,,,,,,,
424,irish,menthe,0.736641146,,,,,,,,,
425,irish,and,0.721398358,,,,,,,,,
426,irish,prime,0.717811369,,,,,,,,,
427,irish,shoulder,0.676634392,,,,,,,,,
428,irish,pudding,0.663102021,,,,,,,,,
429,irish,oat,0.65764437,,,,,,,,,
430,irish,thaw,0.655378208,,,,,,,,,
431,irish,stock,0.654281565,,,,,,,,,
432,irish,spray,0.652076331,,,,,,,,,
433,irish,stew,0.650868125,,,,,,,,,
434,irish,gluten,0.64879919,,,,,,,,,
435,irish,banger,0.642508016,,,,,,,,,
436,irish,cheddar,0.63445056,,,,,,,,,
437,irish,pernod,0.630035118,,,,,,,,,
438,irish,chili,-0.636485968,,,,,,,,,
439,irish,sauce,-0.639067386,,,,,,,,,
440,irish,yeast,-0.642216335,,,,,,,,,
441,irish,double,-0.661386529,,,,,,,,,
442,irish,active,-0.674337681,,,,,,,,,
443,irish,ice,-0.679786058,,,,,,,,,
444,irish,chicken,-0.829352659,,,,,,,,,
445,irish,coriander,-0.840926929,,,,,,,,,
446,irish,curry,-0.891177221,,,,,,,,,
447,irish,rice,-1.005193494,,,,,,,,,
448,irish,sweet,-1.173943999,,,,,,,,,
449,irish,oil,-1.242011114,,,,,,,,,
450,italian,italian,2.794509972,,,,,,,,,
451,italian,arborio,2.777524407,,,,,,,,,
452,italian,polenta,2.463037303,,,,,,,,,
453,italian,spaghetti,2.451642091,,,,,,,,,
454,italian,gnocchi,2.425278265,,,,,,,,,
455,italian,mascarpone,2.365674021,,,,,,,,,
456,italian,ricotta,2.218149056,,,,,,,,,
457,italian,parmesan,2.116524427,,,,,,,,,
458,italian,marsala,2.093204043,,,,,,,,,
459,italian,marinara,2.035066296,,,,,,,,,
460,italian,pasta,1.995381305,,,,,,,,,
461,italian,basil,1.920651143,,,,,,,,,
462,italian,fettucine,1.897951677,,,,,,,,,
463,italian,pesto,1.801858788,,,,,,,,,
464,italian,mozzarella,1.769503152,,,,,,,,,
465,italian,linguine,1.769026235,,,,,,,,,
466,italian,amaretti,1.731773114,,,,,,,,,
467,italian,asiago,1.689389504,,,,,,,,,
468,italian,prosciutto,1.66340112,,,,,,,,,
469,italian,olive,1.655073308,,,,,,,,,
470,italian,gorgonzola,1.553576225,,,,,,,,,
471,italian,orecchiette,1.51958141,,,,,,,,,
472,italian,cannellini,1.43565751,,,,,,,,,
473,italian,campari,1.431166033,,,,,,,,,
474,italian,hazelnut,1.426063353,,,,,,,,,
475,italian,balsamic,1.413236225,,,,,,,,,
476,italian,pancetta,1.408063348,,,,,,,,,
477,italian,unflavored,1.403971508,,,,,,,,,
478,italian,amaretto,1.40028748,,,,,,,,,
479,italian,pappardelle,1.391790366,,,,,,,,,
480,italian,limoncello,1.383173401,,,,,,,,,
